train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/clip_fraction,train/loss,train/gradient_layer_0,train/gradient_layer_1,train/gradient_layer_2,train/gradient_layer_3,train/gradient_layer_4,train/gradient_layer_5,train/gradient_layer_6,train/gradient_layer_7,train/gradient_layer_8,train/gradient_layer_9,train/gradient_layer_10,train/gradient_layer_11,train/n_updates,train/clip_range
0.0003,-0.649134143255651,-0.01379230288148392,73.30049794912338,0.006607727,0.034912109375,31.716293334960938,3.2278461,0.042699985,11.536717,0.032582752,3.2640014,1.2059596,15.727599,0.7935196,0.41579428,0.005365829,2.7109764,0.09203345,21,0.2
0.0003,-0.6429986140380303,-0.01597354541687916,69.68748760223389,0.010092978,0.06315104166666667,27.254966735839844,3.2430708,0.04013938,11.547927,0.03366775,3.2880855,1.239242,15.923091,0.81015724,0.42818195,0.0059414036,2.808721,0.0970844,22,0.2
0.0003,-0.6408461378887296,-0.01737317579681985,67.02451315522194,0.008173185,0.07080078125,30.78627586364746,3.261271,0.042543653,11.560865,0.037930828,3.3323984,1.2449362,16.06828,0.81161284,0.44139296,0.0069892965,2.888276,0.10097232,23,0.2
0.0003,-0.6394248433411122,-0.01819764683023095,64.92569179534912,0.008292992,0.0767578125,18.79573631286621,3.2775,0.032325387,11.57039,0.032963242,3.3870356,1.2398542,16.202208,0.8076039,0.44596937,0.006589953,2.9583476,0.10423913,24,0.2
0.0003,-0.6383676333352923,-0.018894211054430343,63.17706276973089,0.008515878,0.0810546875,27.677152633666992,3.2926238,0.03423196,11.58059,0.03635577,3.4365683,1.2335691,16.308434,0.8032981,0.45312747,0.007484213,3.011406,0.1067106,25,0.2
0.0003,-0.6374551193522555,-0.01948694477739212,61.696843130247935,0.008916073,0.08510044642857142,25.036378860473633,3.3018532,0.03023884,11.586927,0.034859452,3.4866045,1.2242519,16.405918,0.7975445,0.45300585,0.007618516,3.0541224,0.10856063,26,0.2
0.0003,-0.6369767575524747,-0.01992792224700679,60.394884921610355,0.008216024,0.0872802734375,25.447710037231445,3.3189492,0.036040574,11.599398,0.041320093,3.5426812,1.2221875,16.530792,0.7954899,0.45743668,0.009330051,3.1073847,0.111045405,27,0.2
0.0003,-0.636557388636801,-0.020442467341328867,59.22632661792967,0.008363016,0.08935546875,25.784860610961914,3.330586,0.035373587,11.607233,0.040146977,3.5917,1.213363,16.619272,0.789949,0.45682046,0.009303289,3.1402853,0.11237065,28,0.2
0.0003,-0.6362506149336695,-0.020795119763351976,58.16458238959312,0.0082742125,0.090869140625,20.289182662963867,3.3443577,0.036711723,11.617064,0.038389713,3.6420758,1.2038869,16.708355,0.78392404,0.4586685,0.00914736,3.1692135,0.11345324,29,0.2
0.0003,-0.6408904045820236,-0.004704130951722618,93.7054078578949,0.0002772269,0.0,50.21452331542969,3.354607,0.035068084,11.627623,0.03013379,3.6404834,1.2620652,16.887821,0.81698257,0.4715795,0.007028468,3.2344093,0.11783722,30,0.2
0.0003,-0.6322371857240796,-0.010884570157941198,87.17696154117584,0.003064983,0.012451171875,39.15887451171875,3.3688307,0.03888414,11.6427965,0.025838887,3.6262288,1.3356694,17.101547,0.8583923,0.49461406,0.0053628385,3.3219788,0.12391085,31,0.2
0.0003,-0.6252457592636347,-0.014463214599042354,82.400319258372,0.006704928,0.033854166666666664,35.48384094238281,3.3805757,0.048514076,11.651992,0.02675438,3.6358123,1.378175,17.293867,0.88114613,0.50524706,0.0050771097,3.4134514,0.12988368,32,0.2
0.0003,-0.6206982657313347,-0.016272318693154375,78.69094702601433,0.008591465,0.0491943359375,26.89399528503418,3.3899043,0.059701726,11.6575775,0.0283867,3.675328,1.3855574,17.441164,0.88359034,0.51009595,0.0045570107,3.4917417,0.13462414,33,0.2
